
Custo: 1984826 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984819 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984452 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984331 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984278 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984198 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984065 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1984016 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983881 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983816 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983744 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983606 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983427 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983335 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983215 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983153 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1983070 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982951 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982876 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982849 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982581 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982564 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982489 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982487 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982333 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982266 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1982243 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1981937 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1981919 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1981806 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.83
Custo: 1981772 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981582 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981557 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981522 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981302 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
